"scientific_name","species","iucn_category","superclass","genus","family","order","zoonomia","illumina","silencer"
"Hippopotamus amphibius","Hippopotamus amphibius","VULNERABLE","Mammalia","Hippopotamus","Hippopotamidae","Artiodactyla",TRUE,TRUE,TRUE
"Tursiops truncatus","Tursiops truncatus","LEAST CONCERN","Mammalia","Tursiops","Delphinidae","Artiodactyla",TRUE,TRUE,FALSE
"Delphinapterus leucas","Delphinapterus leucas","LEAST CONCERN","Mammalia","Delphinapterus","Monodontidae","Artiodactyla",TRUE,TRUE,FALSE
"Megaptera novaeangliae","Megaptera novaeangliae","LEAST CONCERN","Mammalia","Megaptera","Balaenopteridae","Artiodactyla",TRUE,TRUE,FALSE
"Delphinus delphis","Delphinus delphis","LEAST CONCERN","Mammalia","Delphinus","Delphinidae","Artiodactyla",FALSE,TRUE,FALSE
"Muntiacus reevesi","Muntiacus reevesi","LEAST CONCERN","Mammalia","Muntiacus","Cervidae","Artiodactyla",TRUE,TRUE,TRUE
"Phacochoerus africanus","Phacochoerus africanus","LEAST CONCERN","Mammalia","Phacochoerus","Suidae","Artiodactyla",FALSE,TRUE,TRUE
"Tragelaphus spekii","Tragelaphus spekii","LEAST CONCERN","Mammalia","Tragelaphus","Bovidae","Artiodactyla",FALSE,TRUE,FALSE
"Bison bonasus","Bison bonasus","NEAR THREATENED","Mammalia","Bison","Bovidae","Artiodactyla",FALSE,TRUE,FALSE
"Connochaetes gnou","Connochaetes gnou","LEAST CONCERN","Mammalia","Connochaetes","Bovidae","Artiodactyla",FALSE,TRUE,FALSE
"Axis axis","Axis axis","LEAST CONCERN","Mammalia","Axis","Cervidae","Artiodactyla",FALSE,TRUE,FALSE
"Capra pyrenaica hispanica","Capra pyrenaica","LEAST CONCERN","Mammalia","Capra","Bovidae","Artiodactyla",FALSE,TRUE,FALSE
